,state,participation_act_2017,total_act_2017,participation_act_2018,total_act_2018,participation_act_2019,total_act_2019,participation_sat_2017,total_sat_2017,participation_sat_2018,total_sat_2018,participation_sat_2019,total_sat_2019
0,Alabama,1.0,19.2,1.0,19.1,1.0,18.9,0.05,1165.0,0.06,1166.0,0.07,1143.0
1,Alaska,0.65,19.8,0.33,20.8,0.38,20.1,0.38,1080.0,0.43,1106.0,0.41,1097.0
2,Arizona,0.62,19.7,0.66,19.2,0.73,19.0,0.3,1116.0,0.29,1149.0,0.31,1134.0
3,Arkansas,1.0,19.4,1.0,19.4,1.0,19.3,0.03,1208.0,0.05,1169.0,0.06,1141.0
4,California,0.31,22.8,0.27,22.7,0.23,22.6,0.53,1055.0,0.6,1076.0,0.63,1065.0
5,Colorado,1.0,20.8,0.3,23.9,0.27,23.8,0.11,1201.0,1.0,1025.0,1.0,1024.0
6,Connecticut,0.31,25.2,0.26,25.6,0.22,25.5,1.0,1041.0,1.0,1053.0,1.0,1046.0
7,Delaware,0.18,24.1,0.17,23.8,0.13,24.1,1.0,996.0,1.0,998.0,1.0,985.0
8,District of Columbia,0.32,24.2,0.32,23.6,0.32,23.5,1.0,950.0,0.92,977.0,0.94,975.0
9,Florida,0.73,19.8,0.66,19.9,0.54,20.1,0.83,1017.0,0.56,1099.0,1.0,999.0
10,Georgia,0.55,21.4,0.53,21.4,0.49,21.4,0.61,1050.0,0.7,1064.0,0.71,1058.0
11,Hawaii,0.9,19.0,0.89,18.9,0.8,19.0,0.55,1085.0,0.56,1010.0,0.54,1100.0
12,Idaho,0.38,22.3,0.36,22.3,0.31,22.5,0.93,1005.0,1.0,1001.0,1.0,993.0
13,Illinois,0.93,21.4,0.43,23.9,0.35,24.3,0.09,1115.0,0.99,1019.0,1.0,1013.0
14,Indiana,0.35,22.6,0.32,22.5,0.29,22.5,0.63,1074.0,0.63,1074.0,0.66,1080.0
15,Iowa,0.67,21.9,0.68,21.8,0.66,21.6,0.02,1275.0,0.03,1265.0,0.03,1244.0
16,Kansas,0.73,21.7,0.71,21.6,0.72,21.2,0.04,1260.0,0.04,1265.0,0.04,1241.0
17,Kentucky,1.0,20.0,1.0,20.2,1.0,19.8,0.04,1247.0,0.04,1248.0,0.04,1232.0
18,Louisiana,1.0,19.5,1.0,19.2,1.0,18.8,0.04,1198.0,0.04,1210.0,0.05,1200.0
19,Maine,0.08,24.3,0.07,24.0,0.06,24.3,0.95,1012.0,0.99,1013.0,0.99,1013.0
21,Maryland,0.28,23.6,0.31,22.5,0.28,22.3,0.69,1060.0,0.76,1080.0,0.82,1058.0
22,Massachusetts,0.29,25.4,0.25,25.5,0.21,25.5,0.76,1107.0,0.8,1125.0,0.81,1120.0
23,Michigan,0.29,24.1,0.22,24.2,0.19,24.4,1.0,1005.0,1.0,1011.0,1.0,1003.0
24,Minnesota,1.0,21.5,0.99,21.3,0.95,21.4,0.03,1295.0,0.04,1298.0,0.04,1284.0
25,Mississippi,1.0,18.6,1.0,18.6,1.0,18.4,0.02,1242.0,0.03,1236.0,0.03,1237.0
26,Missouri,1.0,20.4,1.0,20.0,0.82,20.8,0.03,1271.0,0.04,1262.0,0.04,1236.0
27,Montana,1.0,20.3,1.0,20.0,1.0,19.8,0.1,1196.0,0.1,1198.0,0.09,1199.0
28,Nebraska,0.84,21.4,1.0,20.1,1.0,20.0,0.03,1253.0,0.03,1252.0,0.03,1260.0
29,Nevada,1.0,17.8,1.0,17.7,1.0,17.9,0.26,1116.0,0.23,1140.0,0.2,1156.0
30,New Hampshire,0.18,25.5,0.16,25.1,0.14,25.0,0.96,1052.0,0.96,1063.0,0.95,1059.0
31,New Jersey,0.34,23.9,0.31,23.7,0.25,24.2,0.7,1056.0,0.82,1094.0,0.82,1090.0
32,New Mexico,0.66,19.7,0.67,19.4,0.63,19.3,0.11,1138.0,0.16,1093.0,0.18,1073.0
33,New York,0.31,24.2,0.27,24.5,0.22,24.5,0.67,1052.0,0.79,1068.0,0.79,1064.0
34,North Carolina,1.0,19.1,1.0,19.1,1.0,19.0,0.49,1081.0,0.52,1098.0,0.51,1100.0
35,North Dakota,0.98,20.3,0.98,20.3,0.96,19.9,0.02,1256.0,0.02,1283.0,0.02,1263.0
36,Ohio,0.75,22.0,1.0,20.3,1.0,20.0,0.12,1149.0,0.18,1099.0,0.19,1097.0
37,Oklahoma,1.0,19.4,1.0,19.3,1.0,18.9,0.07,1047.0,0.08,1062.0,0.22,963.0
38,Oregon,0.4,21.8,0.42,21.3,0.42,21.1,0.43,1108.0,0.48,1117.0,0.51,1112.0
39,Pennsylvania,0.23,23.7,0.2,23.5,0.17,23.6,0.65,1071.0,0.7,1086.0,0.7,1082.0
40,Rhode Island,0.21,24.0,0.15,24.2,0.12,24.7,0.71,1062.0,0.97,1018.0,1.0,995.0
41,South Carolina,1.0,18.7,1.0,18.3,0.78,18.8,0.5,1064.0,0.55,1070.0,0.68,1030.0
42,South Dakota,0.8,21.8,0.77,21.9,0.75,21.6,0.03,1216.0,0.03,1240.0,0.03,1268.0
43,Tennessee,1.0,19.8,1.0,19.6,1.0,19.4,0.05,1228.0,0.06,1231.0,0.07,1220.0
44,Texas,0.45,20.7,0.45,20.7,0.39,20.5,0.62,1020.0,0.66,1032.0,0.68,1022.0
45,Utah,1.0,20.3,1.0,20.4,1.0,20.3,0.03,1238.0,0.04,1010.0,0.04,1230.0
46,Vermont,0.29,23.6,0.24,24.1,0.2,24.1,0.6,1114.0,0.64,1120.0,0.66,1106.0
47,Virginia,0.29,23.8,0.24,23.9,0.21,24.0,0.65,1102.0,0.68,1117.0,0.68,1119.0
48,Washington,0.29,21.9,0.24,22.2,0.24,22.1,0.64,1075.0,0.69,1081.0,0.7,1074.0
49,West Virginia,0.69,20.4,0.65,20.3,0.49,20.8,0.14,1086.0,0.28,999.0,0.99,943.0
50,Wisconsin,1.0,20.5,1.0,20.5,1.0,20.3,0.03,1291.0,0.03,1294.0,0.03,1283.0
51,Wyoming,1.0,20.2,1.0,20.0,1.0,19.8,0.03,1230.0,0.03,1257.0,0.03,1238.0
